Country,Total,Employment_Age,Employed,Employed_percent,Canton
Äthiopien,40,24,7,0.29166666666666669,AG
Eritrea,2038,1264,632,0.5,AG
Somalia,40,22,6,0.27272727272727271,AG
Afghanistan,199,111,37,0.33333333333333331,AG
China (Volksrepublik),34,23,17,0.73913043478260865,AG
Irak,88,52,14,0.26923076923076922,AG
Iran,56,46,17,0.36956521739130432,AG
Sri Lanka,300,214,120,0.56074766355140182,AG
Syrien,832,467,148,0.31691648822269808,AG
Türkei,581,387,42,0.10852713178294573,AG
Eritrea,50,33,26,0.78787878787878785,AI
Afghanistan,1,1,1,1,AI
China (Volksrepublik),2,2,1,0.5,AI
Irak,1,1,1,1,AI
Sri Lanka,13,11,6,0.54545454545454541,AI
Syrien,18,12,5,0.41666666666666669,AI
Türkei,15,10,0,0,AI
Äthiopien,1,1,0,0,AR
Eritrea,186,108,59,0.54629629629629628,AR
Somalia,8,6,4,0.66666666666666663,AR
Afghanistan,19,15,10,0.66666666666666663,AR
China (Volksrepublik),4,1,0,0,AR
Irak,4,4,2,0.5,AR
Iran,6,5,3,0.6,AR
Sri Lanka,42,30,15,0.5,AR
Syrien,84,43,18,0.41860465116279072,AR
Türkei,61,36,10,0.27777777777777779,AR
Äthiopien,56,34,15,0.44117647058823528,BE
Eritrea,3013,1782,868,0.48709315375982043,BE
Somalia,108,56,19,0.3392857142857143,BE
Afghanistan,379,226,80,0.35398230088495575,BE
China (Volksrepublik),72,50,35,0.7,BE
Irak,158,91,35,0.38461538461538464,BE
Iran,151,107,47,0.43925233644859812,BE
Sri Lanka,558,386,249,0.64507772020725385,BE
Syrien,1693,943,336,0.35630965005302229,BE
Türkei,776,519,117,0.22543352601156069,BE
Äthiopien,16,12,5,0.41666666666666669,BL
Eritrea,738,434,206,0.47465437788018433,BL
Somalia,23,16,5,0.3125,BL
Afghanistan,41,33,15,0.45454545454545453,BL
China (Volksrepublik),20,15,8,0.53333333333333333,BL
Irak,57,32,11,0.34375,BL
Iran,31,24,10,0.41666666666666669,BL
Sri Lanka,150,106,68,0.64150943396226412,BL
Syrien,375,217,65,0.29953917050691242,BL
Türkei,117,77,15,0.19480519480519481,BL
Äthiopien,9,5,2,0.4,BS
Eritrea,437,245,98,0.4,BS
Somalia,14,8,3,0.375,BS
Afghanistan,32,17,5,0.29411764705882354,BS
China (Volksrepublik),10,8,4,0.5,BS
Irak,15,11,5,0.45454545454545453,BS
Iran,35,29,4,0.13793103448275862,BS
Sri Lanka,60,46,28,0.60869565217391308,BS
Syrien,238,141,45,0.31914893617021278,BS
Türkei,103,75,18,0.24,BS
Äthiopien,25,18,8,0.44444444444444442,FR
Eritrea,833,516,174,0.33720930232558138,FR
Somalia,40,22,3,0.13636363636363635,FR
Afghanistan,142,85,18,0.21176470588235294,FR
China (Volksrepublik),22,15,7,0.46666666666666667,FR
Irak,66,43,10,0.23255813953488372,FR
Iran,31,23,9,0.39130434782608697,FR
Sri Lanka,159,111,42,0.3783783783783784,FR
Syrien,442,224,62,0.2767857142857143,FR
Türkei,126,87,14,0.16091954022988506,FR
Äthiopien,64,36,6,0.16666666666666666,GE
Eritrea,1199,735,149,0.20272108843537415,GE
Somalia,86,52,12,0.23076923076923078,GE
Afghanistan,295,181,34,0.18784530386740331,GE
China (Volksrepublik),20,12,4,0.33333333333333331,GE
Irak,99,63,11,0.17460317460317459,GE
Iran,87,68,7,0.10294117647058823,GE
Sri Lanka,165,110,39,0.35454545454545455,GE
