Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
Gesamttotal,4421,2741,1085,0.39584093396570597,AG,2022-01
Äthiopien,40,24,7,0.29166666666666669,AG,2022-01
Eritrea,2038,1264,632,0.5,AG,2022-01
Somalia,40,22,6,0.27272727272727271,AG,2022-01
Afghanistan,199,111,37,0.33333333333333331,AG,2022-01
China (Volksrepublik),34,23,17,0.73913043478260865,AG,2022-01
Irak,88,52,14,0.26923076923076922,AG,2022-01
Iran,56,46,17,0.36956521739130432,AG,2022-01
Sri Lanka,300,214,120,0.56074766355140182,AG,2022-01
Syrien,832,467,148,0.31691648822269808,AG,2022-01
Türkei,581,387,42,0.10852713178294573,AG,2022-01
Gesamttotal,103,72,40,0.55555555555555558,AI,2022-01
Eritrea,50,33,26,0.78787878787878785,AI,2022-01
Afghanistan,1,1,1,1,AI,2022-01
China (Volksrepublik),2,2,1,0.5,AI,2022-01
Irak,1,1,1,1,AI,2022-01
Sri Lanka,13,11,6,0.54545454545454541,AI,2022-01
Syrien,18,12,5,0.41666666666666669,AI,2022-01
Türkei,15,10,0,0,AI,2022-01
Gesamttotal,428,258,124,0.48062015503875971,AR,2022-01
Äthiopien,1,1,0,0,AR,2022-01
Eritrea,186,108,59,0.54629629629629628,AR,2022-01
Somalia,8,6,4,0.66666666666666663,AR,2022-01
Afghanistan,19,15,10,0.66666666666666663,AR,2022-01
China (Volksrepublik),4,1,0,0,AR,2022-01
Irak,4,4,2,0.5,AR,2022-01
Iran,6,5,3,0.6,AR,2022-01
Sri Lanka,42,30,15,0.5,AR,2022-01
Syrien,84,43,18,0.41860465116279072,AR,2022-01
Türkei,61,36,10,0.27777777777777779,AR,2022-01
Gesamttotal,7407,4473,1911,0.42723004694835681,BE,2022-01
Äthiopien,56,34,15,0.44117647058823528,BE,2022-01
Eritrea,3013,1782,868,0.48709315375982043,BE,2022-01
Somalia,108,56,19,0.3392857142857143,BE,2022-01
Afghanistan,379,226,80,0.35398230088495575,BE,2022-01
China (Volksrepublik),72,50,35,0.7,BE,2022-01
Irak,158,91,35,0.38461538461538464,BE,2022-01
Iran,151,107,47,0.43925233644859812,BE,2022-01
Sri Lanka,558,386,249,0.64507772020725385,BE,2022-01
Syrien,1693,943,336,0.35630965005302229,BE,2022-01
Türkei,776,519,117,0.22543352601156069,BE,2022-01
Gesamttotal,1629,1001,416,0.41558441558441561,BL,2022-01
Äthiopien,16,12,5,0.41666666666666669,BL,2022-01
Eritrea,738,434,206,0.47465437788018433,BL,2022-01
Somalia,23,16,5,0.3125,BL,2022-01
