Country,Total,Employment_Age,Employed,Employed_percent,Canton
Äthiopien,49,28,12,0.42857142857142855,AG
Eritrea,2042,1237,666,0.53839935327405009,AG
Somalia,47,27,10,0.37037037037037035,AG
Afghanistan,242,142,39,0.27464788732394368,AG
China (Volksrepublik),31,21,17,0.80952380952380953,AG
Irak,85,50,17,0.34,AG
Iran,46,39,18,0.46153846153846156,AG
Sri Lanka,301,215,138,0.64186046511627903,AG
Syrien,890,506,163,0.32213438735177868,AG
Türkei,732,484,83,0.17148760330578514,AG
Eritrea,50,36,28,0.77777777777777779,AI
Afghanistan,1,1,0,0,AI
China (Volksrepublik),2,2,1,0.5,AI
Irak,0,0,0,-,AI
Iran,1,1,0,0,AI
Sri Lanka,14,11,6,0.54545454545454541,AI
Syrien,20,13,4,0.30769230769230771,AI
Türkei,20,15,2,0.13333333333333333,AI
Äthiopien,1,1,0,0,AR
Eritrea,172,99,63,0.63636363636363635,AR
Somalia,8,6,4,0.66666666666666663,AR
Afghanistan,33,18,5,0.27777777777777779,AR
China (Volksrepublik),4,2,1,0.5,AR
Irak,5,5,3,0.6,AR
Iran,10,9,4,0.44444444444444442,AR
Sri Lanka,40,29,16,0.55172413793103448,AR
Syrien,85,42,20,0.47619047619047616,AR
Türkei,68,39,10,0.25641025641025639,AR
Äthiopien,58,36,20,0.55555555555555558,BE
Eritrea,2987,1738,938,0.53970080552359034,BE
Somalia,119,61,24,0.39344262295081966,BE
Afghanistan,444,261,88,0.33716475095785442,BE
China (Volksrepublik),80,53,38,0.71698113207547165,BE
Irak,159,96,45,0.46875,BE
Iran,152,105,49,0.46666666666666667,BE
Sri Lanka,565,391,271,0.69309462915601028,BE
Syrien,1769,997,395,0.39618856569709127,BE
Türkei,947,615,162,0.26341463414634148,BE
Äthiopien,15,11,4,0.36363636363636365,BL
Eritrea,726,426,227,0.53286384976525825,BL
Somalia,23,15,5,0.33333333333333331,BL
Afghanistan,66,48,16,0.33333333333333331,BL
China (Volksrepublik),20,14,7,0.5,BL
Irak,53,27,10,0.37037037037037035,BL
Iran,28,21,9,0.42857142857142855,BL
Sri Lanka,150,106,69,0.65094339622641506,BL
Syrien,381,224,73,0.32589285714285715,BL
Türkei,145,100,19,0.19,BL
Äthiopien,11,5,2,0.4,BS
Eritrea,449,249,108,0.43373493975903615,BS
Somalia,14,10,3,0.3,BS
Afghanistan,45,26,5,0.19230769230769232,BS
China (Volksrepublik),7,5,3,0.6,BS
Irak,16,12,9,0.75,BS
Iran,35,28,5,0.17857142857142858,BS
Sri Lanka,59,43,27,0.62790697674418605,BS
Syrien,245,148,44,0.29729729729729731,BS
Türkei,134,93,23,0.24731182795698925,BS
Äthiopien,28,19,9,0.47368421052631576,FR
Eritrea,855,523,174,0.33269598470363287,FR
Somalia,40,22,2,9.0909090909090912E-2,FR
Afghanistan,154,91,21,0.23076923076923078,FR
China (Volksrepublik),29,19,6,0.31578947368421051,FR
Irak,67,40,13,0.32500000000000001,FR
Iran,27,20,5,0.25,FR
Sri Lanka,158,113,40,0.35398230088495575,FR
Syrien,481,248,73,0.29435483870967744,FR
Türkei,170,115,19,0.16521739130434782,FR
Äthiopien,85,46,10,0.21739130434782608,GE
Eritrea,1247,754,154,0.20424403183023873,GE
Somalia,91,52,10,0.19230769230769232,GE
Afghanistan,364,227,39,0.17180616740088106,GE
China (Volksrepublik),22,13,6,0.46153846153846156,GE
Irak,115,70,11,0.15714285714285714,GE
Iran,93,76,7,9.2105263157894732E-2,GE
Sri Lanka,176,117,44,0.37606837606837606,GE
Syrien,606,331,45,0.13595166163141995,GE
Türkei,484,303,13,4.2904290429042903E-2,GE
Äthiopien,2,2,2,1,GL
Eritrea,119,75,50,0.66666666666666663,GL
Afghanistan,13,8,3,0.375,GL
China (Volksrepublik),9,8,7,0.875,GL
Iran,2,2,1,0.5,GL
Sri Lanka,42,27,22,0.81481481481481477,GL
Syrien,63,39,21,0.53846153846153844,GL
Türkei,41,25,3,0.12,GL
Äthiopien,5,2,2,1,GR
Eritrea,492,295,186,0.63050847457627124,GR
Somalia,18,9,4,0.44444444444444442,GR
Afghanistan,82,56,18,0.32142857142857145,GR
China (Volksrepublik),9,5,4,0.8,GR
Irak,47,29,8,0.27586206896551724,GR
Iran,21,14,5,0.35714285714285715,GR
Sri Lanka,115,76,50,0.65789473684210531,GR
Syrien,280,150,48,0.32,GR
Türkei,165,106,12,0.11320754716981132,GR
Äthiopien,2,2,1,0.5,JU
Eritrea,263,148,65,0.4391891891891892,JU
Somalia,4,4,2,0.5,JU
Afghanistan,46,28,9,0.32142857142857145,JU
China (Volksrepublik),6,3,3,1,JU
Irak,3,1,0,0,JU
Iran,9,6,2,0.33333333333333331,JU
Sri Lanka,55,35,17,0.48571428571428571,JU
Syrien,164,103,40,0.38834951456310679,JU
Türkei,98,54,6,0.1111111111111111,JU
Äthiopien,18,15,10,0.66666666666666663,LU
Eritrea,1302,791,439,0.55499367888748419,LU
Somalia,49,31,11,0.35483870967741937,LU
Afghanistan,142,96,42,0.4375,LU
China (Volksrepublik),37,26,18,0.69230769230769229,LU
Irak,42,24,11,0.45833333333333331,LU
Iran,75,54,20,0.37037037037037035,LU
Sri Lanka,256,174,114,0.65517241379310343,LU
Syrien,609,356,149,0.41853932584269665,LU
Türkei,386,264,71,0.26893939393939392,LU
Äthiopien,10,9,5,0.55555555555555558,NE
Eritrea,589,326,145,0.44478527607361962,NE
Somalia,69,29,10,0.34482758620689657,NE
Afghanistan,121,67,27,0.40298507462686567,NE
China (Volksrepublik),15,9,7,0.77777777777777779,NE
Irak,25,16,4,0.25,NE
Iran,9,8,1,0.125,NE
Sri Lanka,127,86,56,0.65116279069767447,NE
